number,low2019,low2020,low2021,mean
338,6.08666501,-2.52682543,-0.22515146,1.111562707
339,7.5189395,0.7428677,5.84059629,4.700801163
340,3.99801982,-0.0151532,1.42849359,1.803786737
341,2.15333285,4.73211821,0.76469996,2.55005034
342,3.1215296,5.5716782,4.73877842,4.47732874
343,2.7031829,1.6675797,6.69182023,3.68752761
344,0.04046148,-0.74847594,8.04954351,2.44717635
345,1.99363802,6.58333469,5.05788024,4.544950983
346,6.3133364,12.156976,1.54666045,6.672324283
347,8.3675732,5.36954645,-0.51227285,4.408282267
348,2.57771589,4.86515104,-1.02529872,2.139189403
349,5.13470497,7.14455294,-2.11044478,3.389604377
350,8.07108977,4.4287847,-2.40635492,3.364506517
351,6.4503371,3.36893791,-3.53669276,2.094194083
352,3.0398411,5.4865202,-1.26878767,2.41919121
353,7.20334829,3.4906034,3.28379083,4.659247507
354,11.95924409,6.48015093,0.62303213,6.354142383
355,12.77545348,3.28393913,4.89030155,6.983231387
356,9.51241752,4.18298456,4.41938821,6.03826343
357,4.53771699,7.84300981,3.9159141,5.432213633
358,2.18452501,6.29452659,9.33903863,5.93936341
359,2.1676339,6.34809669,8.32189829,5.61254296
360,2.61619887,0.03999643,8.0842851,3.580160133
361,-0.59451522,-3.28238104,10.40928642,2.177463387
362,-2.62951037,-5.15929545,9.15404886,0.455081013
363,-3.03047519,4.33883623,5.54237731,2.28357945
364,-2.1419059,1.98428359,0.52833693,0.12357154
365,-1.92880798,-1.38785668,0.55428122,-0.92079448
366,,-4.6835694,0,-2.3417847
